GSSCode,name,year,dwellingsPerHectaire
E09000001,Redbridge,2013,176
E09000001,Redbridge,2013,176
E09000001,Redbridge,2013,173
E09000030,Barking and Dagenham,2013,190
E09000001,Redbridge,2013,173
E09000001,Redbridge,2013,151
E09000001,Redbridge,2013,190
E09000001,Redbridge,2013,201
E09000001,Redbridge,2013,201
E09000001,Redbridge,2013,201
E09000001,Redbridge,2013,201
E09000001,Redbridge,2013,201
E09000012,Redbridge,2013,201
E09000001,Redbridge,2013,201
E09000001,Redbridge,2013,201
E09000001,Redbridge,2013,224
E09000001,Waltham Forest,2013,224
E09000001,Redbridge,2013,224
E09000007,Redbridge,2013,224
E09000001,Redbridge,2013,224
E09000001,Redbridge,2013,224
E09000001,Redbridge,2013,224
E09000001,Redbridge,2013,159
E09000001,Redbridge,2013,159
E09000001,Redbridge,2013,161
E09000001,Redbridge,2013,159
E09000001,Redbridge,2013,161
E09000001,Redbridge,2013,233
E09000001,Redbridge,2013,233
E09000001,Redbridge,2013,233
E09000001,Redbridge,2013,233
E09000001,Redbridge,2013,213
E09000001,Redbridge,2013,233
E09000001,Redbridge,2013,213
E09000001,Redbridge,2013,213
E09000001,Redbridge,2013,213
E09000001,Redbridge,2013,213
E09000001,Redbridge,2013,173
E09000001,Redbridge,2013,173
E09000001,Redbridge,2013,173
E09000001,Redbridge,2013,173
E09000001,Havering,2013,180
E09000001,Havering,2013,180
E09000001,Havering,2013,180
E09000001,Havering,2013,180
E09000030,Havering,2013,151
E09000001,Havering,2013,151
E09000001,Havering,2013,180
E09000001,Havering,2013,151
E09000001,Havering,2013,176
E09000001,Havering,2013,173
E09000001,Havering,2013,173
E09000001,Havering,2013,190
E09000001,Havering,2013,173
E09000001,Havering,2013,190
E09000001,Havering,2013,190
E09000001,Havering,2013,190
E09000030,Havering,2013,190
E09000001,Havering,2013,201
E09000001,Havering,2013,201
E09000001,Havering,2013,201
E09000001,Havering,2013,201
E09000001,Havering,2013,201
E09000001,Havering,2013,224
E09000001,Havering,2013,224
E09000001,Havering,2013,224
E09000001,Havering,2013,159
E09000001,Havering,2013,224
E09000001,Havering,2013,159
E09000001,Havering,2013,224
E09000001,Havering,2013,224
E09000001,Havering,2013,159
E09000001,Havering,2013,159
E09000001,Havering,2013,161
E09000001,Havering,2013,161
E09000001,Havering,2013,161
E09000001,Havering,2013,161
E09000001,Havering,2013,161
E09000001,Havering,2013,161
E09000001,Havering,2013,233
E09000001,Havering,2013,233
E09000001,Havering,2013,201
E09000001,Havering,2013,233
E09000001,Havering,2013,213
E09000001,Havering,2013,173
E09000001,Newham,2013,180
E09000001,Newham,2013,180
E09000001,Newham,2013,151
E09000001,Newham,2013,151
E09000001,Newham,2013,151
E09000001,Newham,2013,151
E09000001,Newham,2013,151
E09000001,Newham,2013,151
E09000001,Newham,2013,151
E09000001,Newham,2013,176
E09000001,Newham,2013,173
E09000001,Newham,2013,176
E09000001,Newham,2013,173
E09000001,Newham,2013,173
E09000001,Newham,2013,176
E09000001,Newham,2013,173
E09000001,Newham,2013,173
E09000001,Tower Hamlets,2013,173
E09000007,Newham,2013,190
E09000001,Newham,2013,190
E09000001,Newham,2013,190
E09000001,Newham,2013,190
E09000001,Newham,2013,201
E09000001,Newham,2013,201
E09000001,Newham,2013,224
E09000001,Newham,2013,224
E09000001,Newham,2013,224
E09000001,Newham,2013,201
E09000001,Newham,2013,224
E09000001,Newham,2013,224
E09000001,Newham,2013,224
E09000028,Newham,2013,224
E09000001,Newham,2013,224
E09000001,Newham,2013,224
E09000001,Newham,2013,159
E09000001,Newham,2013,159
E09000001,Newham,2013,161
E09000001,Newham,2013,161
E09000001,Newham,2013,161
E09000001,Newham,2013,161
E09000001,Newham,2013,161
E09000001,Newham,2013,233
E09000001,Newham,2013,233
E09000001,Newham,2013,233
E09000001,Newham,2013,213
E09000030,Newham,2013,213
E09000001,Newham,2013,233
E09000001,Newham,2013,213
E09000001,Newham,2013,213
E09000001,Newham,2013,213
E09000001,Barking and Dagenham,2013,180
E09000001,Barking and Dagenham,2013,180
E09000012,Barking and Dagenham,2013,151
E09000001,Barking and Dagenham,2013,151
E09000001,Barking and Dagenham,2013,173
E09000001,Barking and Dagenham,2013,201
E09000001,Barking and Dagenham,2013,201
E09000001,Barking and Dagenham,2013,201
E09000001,Barking and Dagenham,2013,201
E09000001,Barking and Dagenham,2013,224
E09000001,Barking and Dagenham,2013,224
E09000028,Barking and Dagenham,2013,159
E09000001,Barking and Dagenham,2013,224
E09000001,Barking and Dagenham,2013,159
E09000001,Barking and Dagenham,2013,159
E09000001,Barking and Dagenham,2013,161
E09000001,Barking and Dagenham,2013,161
E09000001,Barking and Dagenham,2013,161
E09000001,Barking and Dagenham,2013,161
E09000001,Barking and Dagenham,2013,159
E09000001,Barking and Dagenham,2013,161
E09000001,Barking and Dagenham,2013,233
E09000001,Barking and Dagenham,2013,233
E09000001,Barking and Dagenham,2013,233
E09000001,Barking and Dagenham,2013,233
E09000001,Barking and Dagenham,2013,213
E09000007,Barking and Dagenham,2013,233
E09000001,Barking and Dagenham,2013,213
E09000001,Lambeth,2013,180
E09000001,Lambeth,2013,180
E09000001,Lambeth,2013,151
E09000019,Lambeth,2013,151
E09000001,Lambeth,2013,151
E09000001,Lambeth,2013,151
E09000001,Lambeth,2013,180
E09000001,Lambeth,2013,151
E09000001,Lambeth,2013,176
E09000001,Lambeth,2013,151
E09000001,Lambeth,2013,176
E09000001,Lambeth,2013,176
E09000001,Lambeth,2013,176
E09000001,Lambeth,2013,176
E09000001,Lambeth,2013,176
E09000001,Lambeth,2013,151
E09000001,Lambeth,2013,176
E09000001,Lambeth,2013,173
E09000001,Lambeth,2013,173
